TIME(second)        FRAME DISPLAYED     FRAMES LOST         FRAME RATE          
1                   11                  0                   11.000000           
1                   11                  0                   11.000000           
2                   38                  0                   19.000000           
2                   62                  0                   31.000000           
3                   62                  0                   20.666667           
3                   86                  0                   28.666667           
4                   86                  0                   21.500000           
5                   112                 0                   22.400000           
5                   112                 0                   22.400000           
5                   138                 0                   27.600000           
6                   138                 0                   23.000000           
7                   162                 0                   23.142857           
7                   162                 0                   23.142857           
8                   189                 0                   23.625000           
8                   189                 0                   23.625000           
9                   213                 0                   23.666667           
9                   236                 0                   26.222222           
10                  236                 0                   23.600000           
11                  263                 0                   23.909091           
11                  263                 0                   23.909091           
12                  287                 0                   23.916667           
12                  287                 0                   23.916667           
13                  313                 0                   24.076923           
14                  313                 0                   22.357143           
14                  340                 0                   24.285714           
14                  340                 0                   24.285714           
15                  366                 0                   24.400000           
16                  366                 0                   22.875000           
16                  392                 0                   24.500000           
17                  392                 0                   23.058824           
17                  416                 0                   24.470588           
18                  440                 0                   24.444444           
18                  440                 0                   24.444444           
19                  467                 0                   24.578947           
20                  467                 0                   23.350000           
20                  491                 0                   24.550000           
21                  491                 0                   23.380952           
21                  517                 0                   24.619048           
22                  517                 0                   23.500000           
22                  544                 0                   24.727273           
23                  544                 0                   23.652174           
23                  568                 0                   24.695652           
24                  568                 0                   23.666667           
25                  594                 0                   23.760000           
25                  594                 0                   23.760000           
26                  621                 0                   23.884615           
26                  621                 0                   23.884615           
27                  644                 0                   23.851852           
27                  644                 0                   23.851852           
28                  671                 0     
